# Time-averaged data for fix myat5
# TimeStep v_Evdwl
0 -0.831764
200 -0.284178
400 -0.16413
600 -0.131232
800 -0.15977
1000 -0.217054
1200 -0.243822
1400 -0.292605
1600 -0.137102
1800 -0.120948
2000 -0.167076
2200 -0.133443
2400 -0.11937
2600 -0.25832
2800 -0.172397
3000 -0.173746
3200 -0.108067
3400 -0.133296
3600 -0.30437
3800 -0.204373
4000 -0.102564
4200 -0.0478276
4400 -0.0528941
4600 -0.187116
4800 -0.0541108
5000 -0.0527635
5200 -0.159302
5400 -0.160911
5600 -0.141546
5800 -0.0571341
6000 -0.123321
6200 -0.100185
6400 -0.184834
6600 -0.0899819
6800 -0.131856
7000 -0.0636023
7200 -0.0717804
7400 -0.132899
7600 -0.105622
7800 -0.0365326
8000 -0.0951585
8200 -0.25304
8400 -0.0222544
8600 -0.0504118
8800 -0.113942
9000 -0.0702174
9200 -0.0562289
9400 -0.228628
9600 -0.167713
9800 -0.270756
10000 -0.142317
10200 -0.0542125
10400 -0.0973381
10600 -0.14498
10800 -0.126877
11000 -0.0913519
11200 -0.0532576
11400 -0.0884668
11600 -0.297061
11800 -0.15151
12000 -0.240787
12200 -0.103305
12400 -0.146693
12600 -0.22947
12800 -0.178254
13000 -0.195534
13200 -0.13795
13400 -0.0719635
13600 -0.163134
13800 -0.220092
14000 -0.118083
14200 -0.0984348
14400 -0.0975606
14600 -0.105237
14800 -0.112493
15000 -0.199189
15200 -0.136025
15400 -0.187983
15600 -0.0691582
15800 -0.118241
16000 -0.168824
16200 -0.149565
16400 -0.197734
16600 -0.0694254
16800 -0.0937319
17000 -0.114547
17200 -0.116537
17400 -0.059689
17600 -0.0959058
17800 -0.0750569
18000 -0.0975291
18200 -0.0989609
18400 -0.110481
18600 -0.190505
18800 -0.102574
19000 -0.223185
19200 -0.164245
19400 -0.119713
19600 -0.16556
19800 -0.0830256
20000 -0.0704138
