# Time-averaged data for fix myat2
# TimeStep v_Ekin
0 21.909
200 21.7414
400 21.8923
600 21.9125
800 21.9203
1000 21.8965
1200 21.9732
1400 21.8701
1600 21.8979
1800 22.0232
2000 21.8532
2200 21.9158
2400 21.9184
2600 21.9018
2800 21.9074
3000 21.9067
3200 21.9091
3400 21.9559
3600 21.8896
3800 21.9103
4000 21.8942
4200 21.9067
4400 21.9158
4600 21.9375
4800 21.8892
5000 21.9434
5200 21.6663
5400 21.8858
5600 21.9084
5800 21.9261
6000 21.9374
6200 21.9198
6400 21.9008
6600 21.8795
6800 21.8984
7000 21.8985
7200 21.9045
7400 21.909
7600 21.9084
7800 21.9124
8000 21.9064
8200 21.9069
8400 21.9067
8600 21.9094
8800 21.9264
9000 21.8986
9200 21.9633
9400 21.8834
9600 21.9133
9800 21.9554
10000 21.9332
10200 21.8899
10400 21.9401
10600 21.8895
10800 21.9088
11000 21.9619
11200 22.049
11400 21.9011
11600 21.8876
11800 21.9057
12000 21.9086
12200 21.9093
12400 21.911
12600 21.9173
12800 21.9411
13000 21.9395
13200 21.9122
13400 21.9047
13600 21.8943
13800 21.9074
14000 21.9557
14200 21.8922
14400 21.9543
14600 21.6786
14800 21.8849
15000 21.8981
15200 21.9074
15400 21.9154
15600 21.8249
15800 21.8852
16000 21.9034
16200 21.9208
16400 21.8857
16600 21.9164
16800 21.9318
17000 21.8738
17200 21.895
17400 21.9088
17600 22.0026
17800 21.5523
18000 21.9204
18200 21.9043
18400 21.9123
18600 21.9247
18800 21.8752
19000 21.9006
19200 21.913
19400 21.9085
19600 21.9169
19800 21.8975
20000 21.8993
