# Time-averaged data for fix myat7
# TimeStep v_temperature
0 150
200 148.853
400 149.886
600 150.024
800 150.078
1000 149.915
1200 150.44
1400 149.734
1600 149.925
1800 150.782
2000 149.619
2200 150.047
2400 150.065
2600 149.951
2800 149.989
3000 149.985
3200 150.001
3400 150.322
3600 149.868
3800 150.01
4000 149.899
4200 149.984
4400 150.047
4600 150.195
4800 149.865
5000 150.236
5200 148.339
5400 149.841
5600 149.996
5800 150.117
6000 150.195
6200 150.074
6400 149.944
6600 149.799
6800 149.927
7000 149.928
7200 149.97
7400 150
7600 149.996
7800 150.023
8000 149.983
8200 149.986
8400 149.984
8600 150.003
8800 150.119
9000 149.929
9200 150.372
9400 149.825
9600 150.03
9800 150.318
10000 150.166
10200 149.869
10400 150.214
10600 149.867
10800 149.999
11000 150.362
11200 150.959
11400 149.946
11600 149.854
11800 149.978
12000 149.997
12200 150.003
12400 150.014
12600 150.057
12800 150.22
13000 150.209
13200 150.022
13400 149.971
13600 149.9
13800 149.989
14000 150.32
14200 149.885
14400 150.31
14600 148.423
14800 149.836
15000 149.925
15200 149.989
15400 150.044
15600 149.424
15800 149.837
16000 149.962
16200 150.081
16400 149.841
16600 150.051
16800 150.156
17000 149.76
17200 149.904
17400 149.999
17600 150.641
17800 147.558
18000 150.078
18200 149.968
18400 150.023
18600 150.107
18800 149.769
19000 149.943
19200 150.028
19400 149.997
19600 150.055
19800 149.922
20000 149.934
