# Time-averaged data for fix myat6
# TimeStep v_pressure
0 6.16154
200 3.17296
400 2.29127
600 1.86145
800 1.60861
1000 1.44925
1200 1.33274
1400 1.26346
1600 1.20539
1800 1.15155
2000 1.12749
2200 1.10219
2400 1.07796
2600 1.06484
2800 1.05241
3000 1.03938
3200 1.02397
3400 1.02439
3600 1.01999
3800 1.01651
4000 1.01281
4200 1.01107
4400 1.00732
4600 1.00462
4800 0.999784
5000 1.00147
5200 1.00409
5400 1.00366
5600 1.00257
5800 1.06918
6000 0.997111
6200 0.997649
6400 0.993507
6600 0.99503
6800 0.993935
7000 1.00657
7200 1.01864
7400 0.994705
7600 0.996643
7800 0.992045
8000 0.995501
8200 0.995723
8400 0.995485
8600 0.995863
8800 0.997942
9000 0.997839
9200 0.997878
9400 0.999161
9600 0.998965
9800 0.997021
10000 0.999558
10200 0.99752
10400 0.993185
10600 0.998683
10800 1.00147
11000 1.00149
11200 0.999905
11400 1.00006
11600 1.00015
11800 1.00736
12000 0.997228
12200 0.999304
12400 0.999346
12600 1.00045
12800 1.00072
13000 1.00082
13200 0.99874
13400 1.00077
13600 1.00072
13800 1.00039
14000 1.00012
14200 0.998473
14400 1.00064
14600 1.00072
14800 1.04964
15000 0.997346
15200 0.993877
15400 0.999373
15600 0.999131
15800 0.999149
16000 0.997091
16200 0.997346
16400 0.997769
16600 0.996095
16800 0.997157
17000 0.997798
17200 0.999011
17400 0.999442
17600 0.999561
17800 0.99969
18000 0.998315
18200 0.992357
18400 0.997348
18600 0.996926
18800 0.997013
19000 0.999043
19200 0.999261
19400 0.998069
19600 0.995186
19800 0.997523
20000 0.998757
