# Time-averaged data for fix myat8
# TimeStep v_volume
0 216000
200 414534
400 579276
600 715406
800 827147
1000 918595
1200 994613
1400 1.05556e+06
1600 1.10607e+06
1800 1.14975e+06
2000 1.18226e+06
2200 1.20937e+06
2400 1.23552e+06
2600 1.25333e+06
2800 1.26809e+06
3000 1.27983e+06
3200 1.29554e+06
3400 1.30212e+06
3600 1.30787e+06
3800 1.31268e+06
4000 1.31649e+06
4200 1.31963e+06
4400 1.32215e+06
4600 1.32372e+06
4800 1.32486e+06
5000 1.32836e+06
5200 1.32925e+06
5400 1.3303e+06
5600 1.3364e+06
5800 1.33857e+06
6000 1.33825e+06
6200 1.33757e+06
6400 1.34296e+06
6600 1.34157e+06
6800 1.34013e+06
7000 1.34014e+06
7200 1.33952e+06
7400 1.3379e+06
7600 1.33687e+06
7800 1.34135e+06
8000 1.33991e+06
8200 1.33875e+06
8400 1.33756e+06
8600 1.33636e+06
8800 1.33553e+06
9000 1.33496e+06
9200 1.33652e+06
9400 1.33617e+06
9600 1.33596e+06
9800 1.33533e+06
10000 1.33495e+06
10200 1.3347e+06
10400 1.33391e+06
10600 1.33268e+06
10800 1.3328e+06
11000 1.33321e+06
11200 1.3335e+06
11400 1.33329e+06
11600 1.33312e+06
11800 1.33239e+06
12000 1.33432e+06
12200 1.33389e+06
12400 1.33354e+06
12600 1.33355e+06
12800 1.33371e+06
13000 1.33393e+06
13200 1.33393e+06
13400 1.33391e+06
13600 1.33412e+06
13800 1.33427e+06
14000 1.33437e+06
14200 1.33385e+06
14400 1.33387e+06
14600 1.33408e+06
14800 1.33447e+06
15000 1.33674e+06
15200 1.33602e+06
15400 1.33535e+06
15600 1.33519e+06
15800 1.33481e+06
16000 1.33461e+06
16200 1.33848e+06
16400 1.33784e+06
16600 1.33707e+06
16800 1.33704e+06
17000 1.33647e+06
17200 1.336e+06
17400 1.33582e+06
17600 1.33568e+06
17800 1.33559e+06
18000 1.33543e+06
18200 1.33563e+06
18400 1.33459e+06
18600 1.33784e+06
18800 1.33684e+06
19000 1.3364e+06
19200 1.33619e+06
19400 1.33592e+06
19600 1.33494e+06
19800 1.33415e+06
20000 1.33353e+06
