# Time-averaged data for fix myat1
# TimeStep v_Epot
0 -0.831764
200 -0.57095
400 -0.501642
600 -0.537005
800 -0.572252
1000 -0.519276
1200 -0.80605
1400 -0.622368
1600 -0.573324
1800 -0.51632
2000 -0.431097
2200 -0.440197
2400 -0.622259
2600 -0.503864
2800 -0.502518
3000 -0.523355
3200 -0.60471
3400 -0.635814
3600 -0.382355
3800 -0.421112
4000 -0.385178
4200 -0.363557
4400 -0.422064
4600 -0.400422
4800 -0.355139
5000 -0.396431
5200 -0.433392
5400 -0.369302
5600 -0.581791
5800 -0.396132
6000 -0.43408
6200 -0.352222
6400 -0.442877
6600 -0.41811
6800 -0.513187
7000 -0.583895
7200 -0.455661
7400 -0.414996
7600 -0.444767
7800 -0.545329
8000 -0.419344
8200 -0.426312
8400 -0.555666
8600 -0.510346
8800 -0.390631
9000 -0.358617
9200 -0.346877
9400 -0.250293
9600 -0.448485
9800 -0.53805
10000 -0.509939
10200 -0.455085
10400 -0.385954
10600 -0.439229
10800 -0.400062
11000 -0.329629
11200 -0.340961
11400 -0.390579
11600 -0.351746
11800 -0.447401
12000 -0.504073
12200 -0.39078
12400 -0.576781
12600 -0.496498
12800 -0.362433
13000 -0.366816
13200 -0.263843
13400 -0.348403
13600 -0.414772
13800 -0.461128
14000 -0.426679
14200 -0.382506
14400 -0.351128
14600 -0.489311
14800 -0.380037
15000 -0.429122
15200 -0.376303
15400 -0.348124
15600 -0.430664
15800 -0.302035
16000 -0.26987
16200 -0.31815
16400 -0.33793
16600 -0.304651
16800 -0.400702
17000 -0.489261
17200 -0.445195
17400 -0.316219
17600 -0.264123
17800 -0.253317
18000 -0.351537
18200 -0.508714
18400 -0.473584
18600 -0.324496
18800 -0.266769
19000 -0.318501
19200 -0.349849
19400 -0.550647
19600 -0.349315
19800 -0.341638
20000 -0.256535
