# Time-averaged data for fix myat3
# TimeStep v_Etot
0 6.47122
200 6.67142
400 6.75454
600 6.80477
800 6.77076
1000 6.76938
1200 6.63277
1400 6.61568
1600 6.71523
1800 6.76572
2000 6.81895
2200 6.85495
2400 6.75325
2600 6.74986
2800 6.78104
3000 6.78808
3200 6.74182
3400 6.68074
3600 6.85558
3800 6.89319
4000 6.90943
4200 6.91351
4400 6.9164
4600 6.90471
4800 6.93107
5000 6.93819
5200 6.86454
5400 6.91548
5600 6.81623
5800 6.83873
6000 6.88248
6200 6.92149
6400 6.8738
6600 6.87476
6800 6.82525
7000 6.75303
7200 6.77947
7400 6.87737
7600 6.85701
7800 6.8484
8000 6.85633
8200 6.88776
8400 6.79379
8600 6.77031
8800 6.85881
9000 6.91503
9200 6.96359
9400 6.94071
9600 6.90019
9800 6.77982
10000 6.75695
10200 6.83359
10400 6.89909
10600 6.88318
10800 6.89127
11000 6.94244
11200 6.97053
11400 6.95658
11600 6.94628
11800 6.8902
12000 6.80831
12200 6.87051
12400 6.80209
12600 6.79074
12800 6.89192
13000 6.93403
13200 7.01
13400 6.9953
13600 6.91315
13800 6.8544
14000 6.83678
14200 6.89142
14400 6.9223
14600 6.87594
14800 6.84652
15000 6.90809
15200 6.89666
15400 6.95806
15600 6.93518
15800 6.9422
16000 7.02551
16200 6.99785
16400 6.97511
16600 6.98638
16800 6.94264
17000 6.83924
17200 6.83707
17400 6.93003
17600 7.00737
17800 7.04548
18000 6.98047
18200 6.90191
18400 6.76181
18600 6.94233
18800 7.00256
19000 6.991
19200 6.95197
19400 6.8033
19600 6.89457
19800 6.94856
20000 7.02209
