# Time-averaged data for fix myat1
# TimeStep v_Epot
0 -4.94911
200 -2.50474
400 -2.46886
600 -2.96565
800 -2.53697
1000 -2.73783
1200 -2.82393
1400 -2.49609
1600 -2.31055
1800 -1.98562
2000 -2.37054
2200 -2.47992
2400 -2.14479
2600 -2.683
2800 -1.81355
3000 -2.33092
3200 -2.31093
3400 -2.60438
3600 -1.49564
3800 -2.49886
4000 -2.31882
4200 -2.59856
4400 -2.49722
4600 -3.08132
4800 -2.69064
5000 -2.76731
5200 -2.50205
5400 -1.70952
5600 -2.25042
5800 -1.84878
6000 -2.33029
6200 -1.91004
6400 -2.31849
6600 -2.00742
6800 -2.25802
7000 -2.16089
7200 -2.76008
7400 -2.1498
7600 -2.21958
7800 -1.22779
8000 -1.91256
8200 -1.88377
8400 -2.19776
8600 -2.34005
8800 -1.79297
9000 -2.08398
9200 -1.93232
9400 -2.06406
9600 -2.24211
9800 -2.32656
10000 -1.5875
10200 -1.91901
10400 -1.4613
10600 -2.20178
10800 -2.41134
11000 -1.25657
11200 -1.80381
11400 -2.20904
11600 -1.91866
11800 -2.37415
12000 -2.40915
12200 -2.6698
12400 -1.72219
12600 -2.46815
12800 -2.13769
13000 -2.28626
13200 -2.49623
13400 -1.60615
13600 -1.73792
13800 -2.05063
14000 -2.07854
14200 -2.14685
14400 -1.63778
14600 -1.78618
14800 -2.23485
15000 -1.97782
15200 -1.95219
15400 -2.23344
15600 -2.4311
15800 -2.67048
16000 -1.88456
16200 -2.27196
16400 -2.02258
16600 -2.2266
16800 -2.15341
17000 -2.15389
17200 -1.78992
17400 -2.04114
17600 -1.99834
17800 -2.14531
18000 -2.30027
18200 -1.82179
18400 -2.42069
18600 -2.13123
18800 -1.64817
19000 -2.0304
19200 -1.99227
19400 -1.66642
19600 -2.24141
19800 -2.37216
20000 -2.40424
