# Time-averaged data for fix myat2
# TimeStep v_Ekin
0 14.7
200 14.0605
400 14.0913
600 14.7693
800 14.3111
1000 14.3989
1200 14.9308
1400 14.6677
1600 14.8635
1800 14.4972
2000 14.5523
2200 14.8843
2400 15.2217
2600 14.4961
2800 14.542
3000 15.1006
3200 14.9933
3400 14.6895
3600 14.4688
3800 14.9056
4000 14.5923
4200 14.4812
4400 14.7451
4600 14.5117
4800 15.0611
5000 14.8636
5200 14.9795
5400 14.8604
5600 14.6409
5800 13.9951
6000 14.8924
6200 15.259
6400 14.9243
6600 14.8125
6800 14.8304
7000 14.7022
7200 14.1929
7400 14.7952
7600 14.4381
7800 14.3208
8000 15.4404
8200 14.7848
8400 14.4325
8600 14.7847
8800 14.3548
9000 14.7044
9200 14.7227
9400 14.8496
9600 14.239
9800 15.4061
10000 14.3278
10200 14.0215
10400 14.7337
10600 14.6936
10800 14.7328
11000 15.0379
11200 14.8719
11400 14.3744
11600 14.6743
11800 15.0422
12000 14.2013
12200 14.5363
12400 14.8885
12600 14.3954
12800 15.0379
13000 14.2907
13200 14.7087
13400 14.8255
13600 14.8359
13800 14.6351
14000 14.8582
14200 14.8974
14400 14.9238
14600 15.1842
14800 14.2192
15000 14.8883
15200 15.0173
15400 14.4743
15600 14.3521
15800 14.5925
16000 15.164
16200 14.8693
16400 15.0534
16600 14.6694
16800 14.6444
17000 14.9979
17200 14.5922
17400 14.7812
17600 15.2512
17800 14.7135
18000 14.7691
18200 14.7983
18400 14.7491
18600 14.8533
18800 14.8509
19000 14.823
19200 14.7936
19400 14.7211
19600 14.6698
19800 14.6597
20000 14.5885
