# Time-averaged data for fix myat9
# TimeStep v_density
0 0.0190665
200 0.0190665
400 0.0190665
600 0.0190665
800 0.0190665
1000 0.0190665
1200 0.0190665
1400 0.0190665
1600 0.0190665
1800 0.0190665
2000 0.0190665
2200 0.0190665
2400 0.0190665
2600 0.0190665
2800 0.0190665
3000 0.0190665
3200 0.0190665
3400 0.0190665
3600 0.0190665
3800 0.0190665
4000 0.0190665
4200 0.0190665
4400 0.0190665
4600 0.0190665
4800 0.0190665
5000 0.0190665
5200 0.0190665
5400 0.0190665
5600 0.0190665
5800 0.0190665
6000 0.0190665
6200 0.0190665
6400 0.0190665
6600 0.0190665
6800 0.0190665
7000 0.0190665
7200 0.0190665
7400 0.0190665
7600 0.0190665
7800 0.0190665
8000 0.0190665
8200 0.0190665
8400 0.0190665
8600 0.0190665
8800 0.0190665
9000 0.0190665
9200 0.0190665
9400 0.0190665
9600 0.0190665
9800 0.0190665
10000 0.0190665
10200 0.0190665
10400 0.0190665
10600 0.0190665
10800 0.0190665
11000 0.0190665
11200 0.0190665
11400 0.0190665
11600 0.0190665
11800 0.0190665
12000 0.0190665
12200 0.0190665
12400 0.0190665
12600 0.0190665
12800 0.0190665
13000 0.0190665
13200 0.0190665
13400 0.0190665
13600 0.0190665
13800 0.0190665
14000 0.0190665
14200 0.0190665
14400 0.0190665
14600 0.0190665
14800 0.0190665
15000 0.0190665
15200 0.0190665
15400 0.0190665
15600 0.0190665
15800 0.0190665
16000 0.0190665
16200 0.0190665
16400 0.0190665
16600 0.0190665
16800 0.0190665
17000 0.0190665
17200 0.0190665
17400 0.0190665
17600 0.0190665
17800 0.0190665
18000 0.0190665
18200 0.0190665
18400 0.0190665
18600 0.0190665
18800 0.0190665
19000 0.0190665
19200 0.0190665
19400 0.0190665
19600 0.0190665
19800 0.0190665
20000 0.0190665
