# Time-averaged data for fix myat8
# TimeStep v_volume
0 2142.7
200 2142.7
400 2142.7
600 2142.7
800 2142.7
1000 2142.7
1200 2142.7
1400 2142.7
1600 2142.7
1800 2142.7
2000 2142.7
2200 2142.7
2400 2142.7
2600 2142.7
2800 2142.7
3000 2142.7
3200 2142.7
3400 2142.7
3600 2142.7
3800 2142.7
4000 2142.7
4200 2142.7
4400 2142.7
4600 2142.7
4800 2142.7
5000 2142.7
5200 2142.7
5400 2142.7
5600 2142.7
5800 2142.7
6000 2142.7
6200 2142.7
6400 2142.7
6600 2142.7
6800 2142.7
7000 2142.7
7200 2142.7
7400 2142.7
7600 2142.7
7800 2142.7
8000 2142.7
8200 2142.7
8400 2142.7
8600 2142.7
8800 2142.7
9000 2142.7
9200 2142.7
9400 2142.7
9600 2142.7
9800 2142.7
10000 2142.7
10200 2142.7
10400 2142.7
10600 2142.7
10800 2142.7
11000 2142.7
11200 2142.7
11400 2142.7
11600 2142.7
11800 2142.7
12000 2142.7
12200 2142.7
12400 2142.7
12600 2142.7
12800 2142.7
13000 2142.7
13200 2142.7
13400 2142.7
13600 2142.7
13800 2142.7
14000 2142.7
14200 2142.7
14400 2142.7
14600 2142.7
14800 2142.7
15000 2142.7
15200 2142.7
15400 2142.7
15600 2142.7
15800 2142.7
16000 2142.7
16200 2142.7
16400 2142.7
16600 2142.7
16800 2142.7
17000 2142.7
17200 2142.7
17400 2142.7
17600 2142.7
17800 2142.7
18000 2142.7
18200 2142.7
18400 2142.7
18600 2142.7
18800 2142.7
19000 2142.7
19200 2142.7
19400 2142.7
19600 2142.7
19800 2142.7
20000 2142.7
