# Time-averaged data for fix myat5
# TimeStep v_Evdwl
0 -25.7831
200 -21.1495
400 -21.0349
600 -22.4614
800 -21.8975
1000 -20.9519
1200 -23.1948
1400 -21.6569
1600 -22.0694
1800 -21.1825
2000 -21.9996
2200 -22.0091
2400 -21.1835
2600 -20.8659
2800 -19.7025
3000 -21.8169
3200 -21.7493
3400 -21.4156
3600 -20.8853
3800 -21.6453
4000 -21.3061
4200 -21.8133
4400 -21.2501
4600 -20.2247
4800 -21.3994
5000 -20.8487
5200 -21.1672
5400 -21.4067
5600 -21.759
5800 -20.9315
6000 -20.9864
6200 -21.0184
6400 -21.5973
6600 -21.1456
6800 -22.9058
7000 -19.7561
7200 -22.249
7400 -19.988
7600 -22.3603
7800 -20.643
8000 -20.8905
8200 -19.8151
8400 -21.3644
8600 -18.6678
8800 -20.2906
9000 -21.9161
9200 -21.1253
9400 -20.6021
9600 -20.7301
9800 -21.6484
10000 -20.3405
10200 -21.5642
10400 -21.7831
10600 -20.7476
10800 -19.1058
11000 -19.1752
11200 -20.9448
11400 -21.5907
11600 -21.9828
11800 -19.5641
12000 -19.6054
12200 -18.9397
12400 -19.7869
12600 -21.8091
12800 -20.9551
13000 -19.9194
13200 -21.5351
13400 -21.1975
13600 -20.8397
13800 -19.6095
14000 -21.4496
14200 -22.0628
14400 -19.246
14600 -20.7544
14800 -22.1991
15000 -21.8459
15200 -21.7764
15400 -19.7603
15600 -20.769
15800 -20.9101
16000 -22.2031
16200 -22.5235
16400 -20.145
16600 -20.8362
16800 -20.1082
17000 -23.9129
17200 -21.8155
17400 -21.8877
17600 -19.8836
17800 -21.7083
18000 -21.6328
18200 -20.2643
18400 -20.076
18600 -21.2654
18800 -20.1982
19000 -20.1831
19200 -21.0255
19400 -20.7829
19600 -20.4378
19800 -20.8329
20000 -21.5539
