# Time-averaged data for fix myat6
# TimeStep v_pressure
0 -280.265
200 787.124
400 1100.6
600 803.644
800 849.532
1000 846.324
1200 977.032
1400 1008.53
1600 1177.64
1800 901.53
2000 766.855
2200 643.243
2400 833.899
2600 1237.48
2800 773.765
3000 810.461
3200 813.692
3400 964.033
3600 897.12
3800 905.097
4000 994.501
4200 1045.53
4400 736.309
4600 811.444
4800 847.215
5000 949.945
5200 648.306
5400 932.634
5600 900.004
5800 834.538
6000 1044.37
6200 1099.86
6400 1009.16
6600 1193.66
6800 1161.81
7000 847.709
7200 896.224
7400 772.037
7600 979.714
7800 840.957
8000 822.261
8200 1013.58
8400 1061.79
8600 597.581
8800 961.176
9000 902.866
9200 1046.88
9400 856.475
9600 1007.13
9800 803.932
10000 957.506
10200 750.991
10400 1046.97
10600 363.765
10800 1084.04
11000 422.318
11200 1055.13
11400 923.576
11600 1093.69
11800 795.289
12000 735.85
12200 894.111
12400 897.797
12600 979.668
12800 1179.65
13000 813.673
13200 774.26
13400 1128.92
13600 866.84
13800 1155.26
14000 763.018
14200 883.77
14400 664.23
14600 733.53
14800 1093.57
15000 1172.78
15200 1116.86
15400 1252.81
15600 624.694
15800 962.459
16000 854.764
16200 939.438
16400 741.408
16600 686.262
16800 765.243
17000 871.726
17200 969.537
17400 1213.53
17600 793.964
17800 750.211
18000 1121.26
18200 1133.75
18400 1143.06
18600 790.416
18800 1003.57
19000 595.398
19200 1095.87
19400 667.115
19600 917.415
19800 1055.62
20000 1188.88
