# Time-averaged data for fix myat3
# TimeStep v_Etot
0 -11.4986
200 -9.21766
400 -9.87055
600 -9.51864
800 -9.62124
1000 -8.69662
1200 -8.65156
1400 -9.20729
1600 -9.09951
1800 -9.30832
2000 -9.17846
2200 -9.29148
2400 -9.65393
2600 -9.67795
2800 -9.47289
3000 -9.21047
3200 -9.31906
3400 -9.07723
3600 -9.02218
3800 -9.24641
4000 -8.35179
4200 -8.98615
4400 -8.63532
4600 -8.70685
4800 -8.93505
5000 -9.43106
5200 -9.54162
5400 -8.70887
5600 -8.89814
5800 -9.3545
6000 -9.32257
6200 -9.72062
6400 -9.51041
6600 -9.01941
6800 -9.57435
7000 -9.23908
7200 -9.66892
7400 -9.12192
7600 -8.4515
7800 -8.16165
8000 -9.10395
8200 -8.68857
8400 -8.20686
8600 -8.81472
8800 -9.18662
9000 -9.60243
9200 -9.59031
9400 -9.05179
9600 -9.19093
9800 -9.24225
10000 -8.27053
10200 -8.61554
10400 -9.46313
10600 -9.1349
10800 -9.07231
11000 -9.72203
11200 -8.68643
11400 -9.13378
11600 -8.90167
11800 -8.73843
12000 -9.70601
12200 -9.21506
12400 -9.82168
12600 -9.26122
12800 -9.06498
13000 -8.48447
13200 -8.88767
13400 -9.32032
13600 -9.24564
13800 -9.55501
14000 -9.07006
14200 -8.96874
14400 -8.88663
14600 -9.00618
14800 -9.10773
15000 -9.28703
15200 -8.29112
15400 -8.71225
15600 -8.98613
15800 -9.47574
16000 -8.9761
16200 -8.74267
16400 -9.82535
16600 -8.72098
16800 -9.63047
17000 -8.92504
17200 -8.16944
17400 -8.98523
17600 -8.63796
17800 -8.53415
18000 -8.6366
18200 -9.13155
18400 -8.80161
18600 -8.91433
18800 -8.43901
19000 -9.17095
19200 -9.2195
19400 -9.54986
19600 -8.56814
19800 -8.78924
20000 -8.76172
